Company Name,Website,City,State,Country,Description,Categories,LinkedIn,Facebook,Twitter,Booth
ABB,http://www.abb.com,New Berlin,WI,United States," With over 50 years of experience in the metals industry, ABB is your partner through every step of the process, whether that be hot rolling, iron/steel making, cold rolling or processing lines.  We excel at integrating equipment, skills and services into a comprehensive customized solution that will strengthen your entire operation. Our portfolio and expertise cover the full value-added chain by providing solutions such as control and automation systems, safety, and instrumentation as well as automation technologies, like arc furnace transformers, series reactors, Low and medium voltage AC drives, motors and life cycle services.  From yard to market ABB offers a complete portfolio of solutions and services for the metals industry. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cold Sheet Rolling, Computer Applications, Electric Steelmaking, Electrical Applications, Energy & Utilities, Hot Sheet Rolling, Long Products, Maintenance & Reliability, Material Handling, Metallurgy - Steelmaking & Casting, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Specialy Alloy & Foundry",https://www.linkedin.com/company/abb/,,,1403
ABP INDUCTION LLC,http://www.abpinduction.com,NORTH BRUNSWICK,NJ,United States,"ABP Induction...Engineeering Solutions for Over 111 Years  In 1903, our predecessors at ASEA built the first induction furnace for melting operations. Today, ABP Induction carries on the traditions and visions of its founders ASEA, BBC and ABB. We provide our customers with superior induction technology with proven experience in steel melting and heating processes. Increased demand for reduced operating cost in melting steel has prompted us to develop highly efficient induction furnaces with production capacities of 70 t/h per furnace set. Our heating division focuses on billet and bar heating, slab and strip heating, along with pipe and rail heating applications. The heating systems are built using a modular design to be flexible as possible for each customer’s requirements. By employing the principles of “Sustainable Technology” ABP provides foundries and steel plants the opportunity for economic growth while balancing social and ecological concerns. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Electric Steelmaking, Oxygen Steelmaking, Specialy Alloy & Foundry, Hot Sheet Rolling, Plate Rolling, Long Products, Pipe & Tube, Metallurgy - Processing, Product & Applications, Energy & Utilities, Electrical Applications, Computer Applications, Project & Construction Management, Maintenance & Reliability, Lubrication & Hydraulics",https://www.linkedin.com/company/abb/,,,2834
Ace World Companies,https://www.aceworldcompanies.com/,FORT WORTH,TX,United States,"We have the solution to all of your material handling needs. For over 30 years Ace World Companies has designed and manufactured overhead cranes and hoists for the steel industry, serving both mills and service centers. We engineer material handling solutions for all hot metal applications, including ladle, charging, scrap and billet handling. We also specialize in rotating coil stackers, transfer cars and automated systems. Our overhead cranes and systems are maximizing steel production in facilities throughout the United States and abroad. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cokemaking, Cold Sheet Rolling, Continuous Casting, Cranes, DRI, Electric Steelmaking, Energy & Utilities, Galvanizing, Hot Sheet Rolling, Ironmaking, Ladle & Secondary Refining, Long Products, Maintenance & Reliability, Material Handling, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Project & Construction Management, Rolls, Specialy Alloy & Foundry, Tinplate Mill Products, Transportation & Logistics, Tube Mills",https://www.linkedin.com/company/376252/admin/,https://www.facebook.com/aceworldcompanies,https://twitter.com/aceworldcompany,1803
Acuity Brands Lighting,,CONYERS,GA,United States,"If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.",,https://www.linkedin.com/company/376252/admin/,,,1209
"Advanced Gauging Technologies, L.L.C.",https://www.advgauging.com,Plain City,OH,United States,"The leader in thickness, width & mult width supplier  Non-contact AGT800 Laser and AGT400 Isotope thickness gauges, non-contact AGT Mult-Width™ slit strip width gauge, non-contact AGT Width™ sheet width gauge and AGT600 lab laser thickness gauge. For more than 20 years, Advanced Gauging Technologies has provided companies with the best measurement systems in the metals industry. As a leading supplier of non-contact measurement equipment, we are committed to focusing on the needs of our customers. All our products are backed by a highly trained team of associates dedicated to delivering outstanding technical support and exceptional customer service. We continue to provide our customers with the most accurate, dependable, and affordable non-contact thickness and width gauges available and continue to be on the forefront of innovation. Brands: AGT400, AGT800, AGT600, AGT Mult-Width, AGT Width If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cold Sheet Rolling, Computer Applications, Electric Steelmaking, Electrical Applications, Galvanizing, Hot Sheet Rolling, Long Products, Lubrication & Hydraulics, Maintenance & Reliability, Metallurgy - Processing, Product & Applications, Metallurgy - Steelmaking & Casting, Oxygen Steelmaking, Pipe & Tube, Plate Rolling, Project & Construction Management, Specialy Alloy & Foundry",https://www.linkedin.com/company/376252/admin/,,,1320
Aeromet Industries Inc.,http://www.aerometindustries.com,Griffith,IN,United States,"Welcome to Aeromet Industries!  For nearly 50 years, Aeromet Industries has been a leading independent manufacturer of high-quality, custom-built recoiler and uncoiler mandrel drums for the steel processing industry. We have developed a line of Tension Mill Mandrels that is the best in the industry, these mandrels have saved companies thousands of dollars in reduced scrap and downtime due to equpment failures. Our Engineering Team has spent significant time redeveloping our cost competitive mandrel that made Aeromet what it is today. Aeromet has also built a reputation as a trusted partner for precision CNC machining on large components for the manufacturing, steel producing and steel processing industries. We are available 24 hours a day, 7 days a week, and specialize in emergency repairs and quick-turnaround machining projects.  Feel free to give us a call, and make sure to stop by our Booth #1153. Brands: We are here to serve all brands of equipment for your emergency break down needs, as well as replacement parts for your OEM equipment. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cold Sheet Rolling, Hot Sheet Rolling, Long Products, Maintenance & Reliability, Material Handling, Metallurgy - Processing, Product & Applications, Metallurgy - Steelmaking & Casting, Pipe & Tube, Plate Rolling, Project & Construction Management",https://www.linkedin.com/company/376252/admin/,,,1153
Aginzo Consulting Group,http://www.aginzo.com,Bexley,OH,United States,"Aginzo Consulting Group is a specialized information systems consulting firm that focuses entirely on the metals industry. We work with all of your information from the office to the shop floor for fully integrated analysis and solutions. Our goal is to help you realize your IT vision and create solutions and improvements throughout your organization, even in the face of limited resources, time or money. Aginzo Consulting Group IS metals. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.",,https://www.linkedin.com/company/376252/admin/,,,1453
AIME 150th Pavilion,http://www.aimehq.org,ENGLEWOOD,CO,United States,"Explore AIST's Legacy and Learn From Leaders The American Institute of Mining, Metallurgical, and Petroleum Engineers, Inc. (AIME) supports its four Member Societies, AIST, SME, SPE, and TMS, through the conferring of awards, scholarships, and grants.  And, as one of the five Founder Societies of engineering in the United States, along with AIChE, ASCE, ASME, and IEEE, AIME provides its Member Societies with representation within the larger engineering and scientific community.  During AIME's 150th year of existence, we are proud to help AIST members explore the organization's long legacy by sharing key milestones from the Institute's past.  We are also honored to be entrusted with capturing and preserving oral histories from current leaders to share with future generations.  Visit www.aimehq.org to learn more. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.",Safety & Health,https://www.linkedin.com/company/908688/admin/,https://www.facebook.com/AIMEHQ/,https://twitter.com/aimehq,2153
Air Products,http://www.airproducts.com/ironsteel,Allentown,PA,United States,"Thank you for your interest in Air Products' solutions.  Air Products pioneered the on-site gas supply concept in 1951 and is a leading, global industrial gas supplier (oxygen, nitrogen, argon, hydrogen, carbon dioxide) with a comprehensive range of industrial gases, gas supply options, and cost-efficient technologies. From the melt shop to the rolling mill, we can help you realize operating cost savings through proprietary technology in combustion, gas injection, shrouding and heat treating. Our key areas of technical expertise include: blast furnace (oxygen enrichment), BOF (slag splashing, bottom stirring, ladle/tundish preheating), EAF (oxy-fuel combustion, decarburization, bottom stirring, ladle preheating, post-combustion), AOD (gas controls, tuyere design), rolling mill (reheating) and finishing mill (annealing). For each person who views our virtual profile and adds us to their Favorites in the virtual exposition hall, the Air Products Foundation will once again donate US$100 ( up to a total of US$15,000) to the AIST Foundation, whose mission is to ensure the iron and steel industry of tomorrow will have a sufficient number of qualified professionals.  It’s easy – just click the star in our virtual booth V2.  Everybody wins! — you support the next generation of steelmakers and by doing this you’ll also be entered into a drawing to win one of two US$100 Amazon Gift Cards! If you would like to be an instant winner...we invite you to particpate in our quick, 2-minute survey.  Upon completion, you will be able to choose a $5 gift card from a preselected group of choices sent to you via the email you provide in the survey!     If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cokemaking, Computer Applications, DRI, Electric Steelmaking, Energy & Utilities, Galvanizing, Ironmaking, Ladle & Secondary Refining, Metallurgy - Processing, Product & Applications, Metallurgy - Steelmaking & Casting, Oxygen Steelmaking, Project & Construction Management",https://www.linkedin.com/company/air-products,https://www.facebook.com/airproducts/,https://twitter.com/AirProducts,V2
Allor Manufacturing/Plesh Industries,http://www.allorplesh.com/,Brighton,MI,United States,"Allor Manufacturing/Plesh Industries custom designs and manufactures material handling products used throughout the steel mill process. We have been serving the steel industry for more than 50 years.  Products include conveying systems and related chain components, including coil conveyors, draw benches, apron conveyors, as well as specialty wheels and bearings.  We also specialize in leveling, and are capable of manufacturing cassettes for processing lines and complete plate levelers for hot, cold and heat-treat lines.  In addition to upgraded leveling components, rolls, backup bearings and thrust bearings, we provide technical assistance to help improve efficiency and reduce downtime.  We also provide rebuild services for chain conveyors and levelers. Allor-Plesh manufactures Backup Bearings from 1.575”- 12.0” (40mm - 305mm) in diameter and are a direct interchange with most OEM leveler bearings. Many popular leveler backup bearing sizes are in stock and ready to ship.  Our bearings are made from 52100, 8620 and 4320 bearing grade steel. Allor-Plesh bearings are built to meet or exceed the industry standards in finish, tolerance, strength and reliability, all of which keep your leveler more reliable. Allor-Plesh also provides custom solutions for harsh environments, with specialty materials and heat treats for high load and wear applications, along with specialty seals and lubricants.  No matter the challenge, we offer custom upgrade retrofits for your Leveler backup bearing challenges. Allor-Plesh manufactures Thrust Bearings for every Tension Leveler running in North America.  Our Thrust Bearings are a direct replacement for your OEM application and many popular thrust bearing sizes are in stock and ready to ship. In addition, if you need an upgrade or retrofit for your existing equipment, we offer improved designs featuring higher capacities and improved mounting configurations. Allor-Plesh manufactures Work rolls from 0.500” - 7.0” (12.7 mm – 177.8mm) in diameter and are designed to be a direct replacement for your OEM application. Our standard work rolls are made from bearing grade 52100 steel.  For wet applications we can supply rolls made from 440C stainless steel or chrome plated 52100. Ask us about our “Durallor” rolls for high wear applications.  Durallor rolls offer a minimum of 3 times the life vs. a standard 52100 roll.  Our rolls are built to standards that exceed the industry in finish, tolerance, strength and reliability, all of which keep your leveling more reliable. Allor-Plesh also provides custom solutions for harsh environments, with specialty materials and heat treats for high load and wear applications.  No matter the challenge, we offer custom upgrade retrofits for your Leveler challenges. If you have questions about Exhibiting or Sponsoring AISTech please contact sales@aist.org Copyright , a2z, Inc. All rights reserved.","Cold Sheet Rolling, Continuous Casting, DRI, Electric Steelmaking, Energy & Utilities, Environmental, Galvanizing, Hot Sheet Rolling, Ironmaking, Maintenance & Reliability, Material Handling, Metallurgy - Processing, Product & Applications, Metallurgy - Steelmaking & Casting, Oxygen Steelmaking, Plate Rolling, Rolls, Specialy Alloy & Foundry, Tube Mills",https://www.linkedin.com/company/allor-manufacturing-and-plesh-industries-inc/,,,1720
